Title;Issn;SJR Best Quartile;Categories
Rutgers Business Review;24742376, 24746509;Q3;"Business and International Management (Q3); Strategy and Management (Q3)"
Technology and Health Care;18787401, 09287329;Q3;"Biomedical Engineering (Q3); Biophysics (Q3); Health Informatics (Q3); Information Systems (Q3); Medicine (miscellaneous) (Q3); Bioengineering (Q4); Biomaterials (Q4)"
Transactions of National Academy of Sciences of Azerbaijan. Series of Physical-Technical and Mathematical Sciences;26177900, 30058139;Q3;Mathematics (miscellaneous) (Q3)
Wildfowl;09546324;Q3;"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Nature and Landscape Conservation (Q3)"
American Annals of the Deaf;15430375, 0002726X;Q3;"Developmental and Educational Psychology (Q3); Education (Q3); Speech and Hearing (Q3)"
BMS Bulletin of Sociological Methodology/ Bulletin de Methodologie Sociologique;07591063, 20702779;Q2;Sociology and Political Science (Q2)
Cardiovascular Endocrinology and Metabolism;25740954;Q3;"Cardiology and Cardiovascular Medicine (Q3); Endocrinology, Diabetes and Metabolism (Q3)"
Chinese Journal of International Law;15401650, 17469937;Q2;"Law (Q2); Political Science and International Relations (Q2)"
Chinese Space Science and Technology;1000758X;Q3;"Aerospace Engineering (Q3); Electrical and Electronic Engineering (Q3); Materials Science (miscellaneous) (Q3)"
Conference Record of the Asilomar Conference on Signals, Systems and Computers;10586393;-;"Computer Networks and Communications; Signal Processing"
Culture, Agriculture, Food and Environment;21539561, 21539553;Q1;"Cultural Studies (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Anthropology (Q2); Food Science (Q3)"
Enfermedades Infecciosas y Microbiologia Clinica;0213005X, 15781852;Q3;"Infectious Diseases (Q3); Microbiology (medical) (Q3); Microbiology (Q4)"
Ethics and Education;17449642, 17449650;Q1;"Philosophy (Q1); Education (Q3)"
Flora Mediterranea;22404538, 11204052;Q3;Plant Science (Q3)
IEEE Technology and Society Magazine;02780097;Q2;"Engineering (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2)"
International Journal of Game Theory;14321270, 00207276;Q2;"Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3); Mathematics (miscellaneous) (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)"
International Journal of Nonlinear Sciences and Numerical Simulation;15651339, 21910294;Q2;"Computational Mechanics (Q2); Engineering (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2); Applied Mathematics (Q3); Mechanics of Materials (Q3); Modeling and Simulation (Q3); Statistical and Nonlinear Physics (Q3)"
International Journal of Testing;15305058, 15327574;Q3;"Education (Q3); Modeling and Simulation (Q3); Social Psychology (Q3)"
Journal of the Chinese Chemical Society;00094536, 21926549;Q3;Chemistry (miscellaneous) (Q3)
Method and Theory in the Study of Religion;09433058;Q1;Religious Studies (Q1)
Pacific Rim International Journal of Nursing Research;19068107, 25868373;Q3;Nursing (miscellaneous) (Q3)
Phytotaxa;11793163, 11793155;Q3;"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
Social Identities;13630296, 13504630;Q2;Sociology and Political Science (Q2)
Zeitschrift fur Sprachwissenschaft;16133706, 07219067;Q2;Linguistics and Language (Q2)
AACE Clinical Case Reports;23760605;Q3;Endocrinology, Diabetes and Metabolism (Q3)
Binggong Xuebao/Acta Armamentarii;10001093;Q3;Mechanical Engineering (Q3)
Biochemistry (Moscow) Supplement Series A: Membrane and Cell Biology;19907478, 19907494;Q3;"Biochemistry (Q3); Biophysics (Q3); Cell Biology (Q4)"
Biodiversity;14888386, 21600651;Q3;"Ecology (Q3); Global and Planetary Change (Q3); Nature and Landscape Conservation (Q3)"
Brazilian Journalism Research;18084079, 19819854;Q2;Communication (Q2)
Critique - Studies in Contemporary Fiction;00111619, 19399138;Q1;Literature and Literary Theory (Q1)
Current History;1944785X, 00113530;Q1;History (Q1)
Dermatology Reports;20367392, 20367406;Q3;Dermatology (Q3)
Discover Education;27315525;Q3;Education (Q3)
Electrochemical Society Interface;10648208;Q3;Electrochemistry (Q3)
Experimental Agriculture;00144797, 14694441;Q2;Agronomy and Crop Science (Q2)
Forensic Science International: Genetics Supplement Series;1875175X, 18751768;Q3;"Pathology and Forensic Medicine (Q3); Genetics (Q4)"
Frontiers in Transplantation;28132440;Q3;"Surgery (Q3); Immunology (Q4)"
Geological Society Memoir;04354052;Q3;Geology (Q3)
Grana;00173134, 16512049;Q3;"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
International Journal of Online and Biomedical Engineering;26268493;Q2;"Engineering (miscellaneous) (Q2); Biomedical Engineering (Q3)"
Ius Canonicum;0021325X, 22546219;Q1;"Religious Studies (Q1); Law (Q2)"
Journal of Analysis;09713611, 23672501;Q3;"Algebra and Number Theory (Q3); Analysis (Q3); Applied Mathematics (Q3); Geometry and Topology (Q3); Numerical Analysis (Q3)"
Journal of Healthcare Quality Research;26036479;Q3;Health Policy (Q3)
Journal of Low Temperature Physics;15737357, 00222291;Q3;"Atomic and Molecular Physics, and Optics (Q3); Condensed Matter Physics (Q3); Materials Science (miscellaneous) (Q3)"
Journal of Media Economics;08997764, 15327736;Q2;"Communication (Q2); Economics and Econometrics (Q3)"
Journal of Prevention and Intervention in the Community;10852352, 15407330;Q3;"Medicine (miscellaneous) (Q3); Social Psychology (Q3)"
Journal of South Asian Development;09731741, 09731733;Q1;"History (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Business and International Management (Q3); Development (Q3)"
Letters in Spatial and Resource Sciences;18644031, 1864404X;Q2;"Demography (Q2); Geography, Planning and Development (Q2); Urban Studies (Q2); Economics and Econometrics (Q3)"
Medeniyet Medical Journal;21492042, 21494606;Q3;Medicine (miscellaneous) (Q3)
Microgravity Science and Technology;09380108;Q2;"Engineering (miscellaneous) (Q2); Applied Mathematics (Q3); Modeling and Simulation (Q3); Physics and Astronomy (miscellaneous) (Q3)"
Minerva Gastroenterology;27245985, 27245365;Q3;"Endocrinology, Diabetes and Metabolism (Q3); Gastroenterology (Q3); Internal Medicine (Q3)"
Moroccan Journal of Chemistry;2351812X;Q3;Chemistry (miscellaneous) (Q3)
Negotiation Journal;15719979, 07484526;Q2;"Social Sciences (miscellaneous) (Q2); Management of Technology and Innovation (Q3); Strategy and Management (Q3)"
New Zealand Veterinary Journal;00480169, 11760710;Q2;"Veterinary (miscellaneous) (Q2); Medicine (miscellaneous) (Q3)"
Nutrition Today;0029666X, 15389839;Q3;Nutrition and Dietetics (Q3)
Occupational Therapy in Health Care;07380577, 15413098;Q3;"Medicine (miscellaneous) (Q3); Occupational Therapy (Q3)"
Polish Journal of Environmental Studies;12301485;Q3;"Environmental Chemistry (Q3); Environmental Science (miscellaneous) (Q3)"
Practical Theology;1756073X, 17560748;Q1;Philosophy (Q1)
Refuge;19207336, 02295113;Q1;"Cultural Studies (Q1); Demography (Q2); Geography, Planning and Development (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
Rendiconti Online Societa Geologica Italiana;20358008;Q3;Geology (Q3)
Revus;18557112, 15817652;Q1;"Philosophy (Q1); Law (Q2)"
Scienze Regionali;17203929, 2035603X;Q2;"Geography, Planning and Development (Q2); Urban Studies (Q2); Economics and Econometrics (Q3); Food Animals (Q3); Public Administration (Q3)"
Systematic Botany;15482324, 03636445;Q3;"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3); Genetics (Q4)"
Texto e Contexto Enfermagem;01040707, 1980265X;Q2;"Advanced and Specialized Nursing (Q2); Law (Q2); Maternity and Midwifery (Q2); Community and Home Care (Q3); Nursing (miscellaneous) (Q3)"
Translational and Clinical Pharmacology;22890882, 23835427;Q3;Pharmacology (medical) (Q3)
Yugoslav Journal of Operations Research;03540243, 23346043;Q3;Management Science and Operations Research (Q3)
Analytical Sciences;09106340, 13482246;Q3;Analytical Chemistry (Q3)
Arethusa;00040975;Q1;"Classics (Q1); Cultural Studies (Q1); Literature and Literary Theory (Q1)"
Aula Abierta;02102773, 23412313;Q3;Education (Q3)
British journal of hospital medicine (London, England : 2005);17508460, 17597390;Q3;Medicine (miscellaneous) (Q3)
Canadian Journal of Education;03802361;Q3;Education (Q3)
Canadian Metallurgical Quarterly;18791395, 00084433;Q2;"Industrial and Manufacturing Engineering (Q2); Metals and Alloys (Q2)"
College English;00100994;Q2;"Linguistics and Language (Q2); Education (Q3)"
Crop Breeding and Applied Biotechnology;19847033, 15187853;Q2;"Agronomy and Crop Science (Q2); Biotechnology (Q3)"
Ecological Chemistry and Engineering S;18986196;Q3;"Environmental Chemistry (Q3); Environmental Engineering (Q3)"
IEEE International Conference on Emerging Technologies and Factory Automation, ETFA;19460759, 19460740;-;"Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering; Engineering (miscellaneous); Industrial and Manufacturing Engineering"
IIMB Management Review;09703896;Q3;"Business, Management and Accounting (miscellaneous) (Q3); Economics and Econometrics (Q3)"
International Journal of Clothing Science and Technology;09556222, 17585953;Q3;"Business, Management and Accounting (miscellaneous) (Q3); Materials Science (miscellaneous) (Q3); Polymers and Plastics (Q3)"
Journal of Construction in Developing Countries;18236499, 21804222;Q1;"Architecture (Q1); Building and Construction (Q3); Civil and Structural Engineering (Q3); Management of Technology and Innovation (Q3); Strategy and Management (Q3)"
Journal of Corporate Accounting and Finance;10970053, 10448136;Q2;"Economics, Econometrics and Finance (miscellaneous) (Q2); Accounting (Q3)"
Journal of Theoretical Politics;14603667, 09516298;Q2;Sociology and Political Science (Q2)
Journal of World Energy Law and Business;17549965, 17549957;Q2;"Law (Q2); Energy (miscellaneous) (Q3); Management, Monitoring, Policy and Law (Q3)"
Medical Hypothesis, Discovery, and Innovation in Ophthalmology;23224436, 23223219;Q3;"Ophthalmology (Q3); Optometry (Q3)"
Mendel;25713701, 18033814;Q3;"Artificial Intelligence (Q3); Computational Mathematics (Q3); Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q3); Decision Sciences (miscellaneous) (Q3); Theoretical Computer Science (Q4)"
Morphologie;12860115;Q3;Anatomy (Q3)
Nonlinear Engineering;21928029, 21928010;Q2;"Engineering (miscellaneous) (Q2); Chemical Engineering (miscellaneous) (Q3); Computer Networks and Communications (Q3); Modeling and Simulation (Q3)"
Reproductive and Developmental Medicine;20962924, 25898728;Q3;"Obstetrics and Gynecology (Q3); Reproductive Medicine (Q3)"
SN Social Sciences;26629283;Q2;Multidisciplinary (Q2)
Theoria;00405825;Q1;Philosophy (Q1)
Vestnik Novosibirskogo Gosudarstvennogo Universiteta, Seriya: Istoriya, Filologiya;18187919;Q1;"Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Anthropology (Q2); Linguistics and Language (Q2)"
Zitteliana Reihe A: Mitteilungen der Bayerischen Staatssammlung fur Palaontologie und Geologie;1612412X;Q3;"Geology (Q3); Paleontology (Q3)"
Advances in Hematology;16879104, 16879112;Q3;Hematology (Q3)
Analytical Letters;1532236X, 00032719;Q3;"Analytical Chemistry (Q3); Biochemistry (Q3); Biochemistry (medical) (Q3); Electrochemistry (Q3); Spectroscopy (Q3); Clinical Biochemistry (Q4)"
Australian and New Zealand Journal of Statistics;1467842X, 13691473;Q3;"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)"
Chelonian Conservation and Biology;10718443;Q2;"Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
Childhood in the Past;20408528, 17585716;Q2;"Anthropology (Q2); Life-span and Life-course Studies (Q3)"
Clinical Pediatrics;19382707, 00099228;Q3;Pediatrics, Perinatology and Child Health (Q3)
Contributions to Discrete Mathematics;17150868;Q3;Discrete Mathematics and Combinatorics (Q3)
Environmental Ethics;01634275;Q1;"Philosophy (Q1); Environmental Science (miscellaneous) (Q3)"
Evidence-Based Nursing;13676539, 14689618;Q3;Fundamentals and Skills (Q3)
Fractional Differential Calculus;18479677;Q3;"Analysis (Q3); Applied Mathematics (Q3)"
IEEE Computer Graphics and Applications;15581756, 02721716;Q3;"Computer Graphics and Computer-Aided Design (Q3); Software (Q3)"
Industrial Lubrication and Tribology;00368792, 17585775;Q3;"Energy (miscellaneous) (Q3); Mechanical Engineering (Q3); Surfaces, Coatings and Films (Q3)"
International Electronic Journal of Environmental Education;21460329;Q3;"Education (Q3); Environmental Science (miscellaneous) (Q3)"
Journal of Engineering Thermophysics;18102328, 19905432;Q3;"Condensed Matter Physics (Q3); Energy Engineering and Power Technology (Q3); Environmental Engineering (Q3); Modeling and Simulation (Q3)"
Journal of Pharmaceutical Health Care and Sciences;20550294;Q2;"Pharmacology (nursing) (Q2); Pharmacology (medical) (Q3)"
Journal of Pharmacy Practice and Research;1445937X;Q2;"Pharmacy (Q2); Pharmacology (medical) (Q3)"
Journal of Software for Algebra and Geometry;19487916;Q3;"Algebra and Number Theory (Q3); Computational Mathematics (Q3); Discrete Mathematics and Combinatorics (Q3); Geometry and Topology (Q3)"
Jurnal Pendidikan IPA Indonesia;20894392, 23391286;Q3;Education (Q3)
Maastricht Journal of European and Comparative Law;1023263X, 23995548;Q2;"Law (Q2); Political Science and International Relations (Q2)"
Materials Research;15161439;Q3;"Condensed Matter Physics (Q3); Materials Science (miscellaneous) (Q3); Mechanical Engineering (Q3); Mechanics of Materials (Q3)"
Mathematics Teacher Education and Development;14423901;Q3;"Education (Q3); Mathematics (miscellaneous) (Q3)"
Nanosystems: Physics, Chemistry, Mathematics;22208054, 23057971;Q3;"Condensed Matter Physics (Q3); Materials Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)"
Organics;2673401X;Q3;Organic Chemistry (Q3)
Participatory Educational Research;21486123;Q3;"Developmental and Educational Psychology (Q3); Education (Q3)"
Pedagogy of Physical Culture and Sports;26649837;Q3;"Education (Q3); Orthopedics and Sports Medicine (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3)"
Philosophical Magazine Letters;09500839, 13623036;Q3;Condensed Matter Physics (Q3)
Tetrahedron Letters;00404039, 18733581;Q3;"Biochemistry (Q3); Drug Discovery (Q3); Organic Chemistry (Q3)"
Transnational Screens;25785265, 25785273;Q1;"Visual Arts and Performing Arts (Q1); Communication (Q2)"
UPB Scientific Bulletin, Series A: Applied Mathematics and Physics;12237027;Q3;"Applied Mathematics (Q3); Physics and Astronomy (miscellaneous) (Q3)"
Aspects of Molecular Medicine;29496888;Q3;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Molecular Biology (Q4); Molecular Medicine (Q4); Physiology (Q4)"
Atomization and Sprays;19362684, 10445110;Q3;Chemical Engineering (miscellaneous) (Q3)
Biophysica;26734125;Q3;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)
BioResources;19302126;Q3;"Environmental Engineering (Q3); Waste Management and Disposal (Q3); Bioengineering (Q4)"
Canadian Journal of Criminology and Criminal Justice;17077753, 19110219;Q2;"Law (Q2); Social Sciences (miscellaneous) (Q2)"
Chilean Journal of Statistics;07187912, 07187920;Q3;Statistics and Probability (Q3)
Consortium Psychiatricum;27132919, 27127672;Q3;"Clinical Psychology (Q3); Psychiatry and Mental Health (Q3); Public Health, Environmental and Occupational Health (Q3)"
Counseling and Values;01607960, 2161007X;Q1;"Religious Studies (Q1); Clinical Psychology (Q3); Social Psychology (Q3)"
Discourse and Interaction;18029930, 1805952X;Q2;Linguistics and Language (Q2)
Food and Foodways;15423484, 07409710;Q1;"Cultural Studies (Q1); Anthropology (Q2); Sociology and Political Science (Q2); Food Science (Q3); Health (social science) (Q3)"
Frontiers in Urology;26739828;Q3;Urology (Q3)
IEEE Conference on Computatonal Intelligence and Games, CIG;23254289, 23254270;-;"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software"
IEEE International Conference on High Performance Switching and Routing, HPSR;23255609, 23255595;-;"Electrical and Electronic Engineering; Hardware and Architecture"
